jobId,jobTitle,companyName,companyUrl,location,salaryMin,salaryMax,salaryCurrency,salaryPeriod,employmentType,tags,postedAt,jobUrl,description
"offer5167035","Manažér predaja RS, KE","DETOX s.r.o.","https://www.profesia.sk/praca/detox-s-r-o/C15493","Rimavská Sobota","1350","1350","EUR","mesiac","plný úväzok","Rimavská Sobota,Obchodný manažér,Obchodný zástupca,DETOX s.r.o.","2025-09-30","https://www.profesia.sk/praca/detox/O5167035?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Hľadáme nového kolegu/kolegyňu, ktorý /á má rád/rada komunikuje so zákazníkom, je zodpovedný /á, pracovitý /á a má obchodného ducha. Radi ťa naučíme všetko potrebné, aby si sa stal profesionálom/ profesionálkou v oblasti environmentalistiky s dôrazom na zneškodnenie/zhodnotenie priemyselných odpadov. Neľakaj sa, je to obchodovanie ako každé iné, avšak a perspektívnou komoditou. Po krátkom zaškolení to určite zvládne. Náplň práce: - kontaktovanie súčasných aj nových zákazníkov, - rokovania so zákazníkmi s cieľom ponúknuť služby spoločnosti DETOX s.r.o. - práca s informačným systémom spoločnosti, - aktívne vyhľadáva a získava nových zákazníkov."
"offer5167038","Call centrum / predajca","DETOX s.r.o.","https://www.profesia.sk/praca/detox-s-r-o/C15493","Banská Bystrica","1350","1350","EUR","mesiac","plný úväzok","Banská Bystrica,Asistent,Obchodný zástupca,Telefonický operátor,DETOX s.r.o.","2025-09-30","https://www.profesia.sk/praca/detox/O5167038?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Hľadáme nového kolegu/kolegyňu, ktorý/á rád/rada telefonicky komunikuje so zákazníkmi, je zodpovedný/á, pracovitý/á a má obchodného ducha. Radi ťa naučíme všetko potrebné, aby si sa stal/a profesionálom/profesionálku v nákupe odpadových olejov. Neľakaj sa, je to obchodovanie ako každé iné, avšak s perspektívnou komoditou. Po krátkom zaškolení to určite zvládneš. - Telefonické kontaktovanie súčasných aj nových zákazníkov,- Informovanie o aktuálnej ponuke spoločnosti DETOX s.r.o.,- Odber odpadových olejov, podmienky výkupu- Zaslanie aktuálnej ponuky zákazníkovi e-mailom- Telefonické dopytovanie spätnej väzby na predloženú ponuku- Práca s informačným systémom spoločnosti."
"offer5167001","Obchodný zástupca v teréne (online predaj automobilov)","AUTO1 Slovakia s.r.o.","https://www.profesia.sk/praca/auto1-slovakia-s-r-o/C280485","Slovensko (Práca vyžaduje cestovanie)","1520","1520","EUR","mesiac","plný úväzok","Obchodný zástupca,AUTO1 Slovakia s.r.o.","2025-09-30","https://www.profesia.sk/praca/auto1-slovakia/O5167001?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Koho hľadáme?- Ste nadšenec do áut? Máte radosť z jazdy a ešte väčšiu z rozhovorov o autách? Bavilo by vás predávať autá?- Ste komunikatívny? Viete byť presvedčivý a baví vás jednanie s ľuďmi?- Nebojíte sa výziev a neradi prehrávate?- Je vaším cieľom, aby sa zákazníci vracali?- Viete si zorganizovať prácu? Komunikácia je vaša silná stránka?- Slovenčina alebo čeština je váš rodný jazyk?- Hovoríte plynule po anglicky?Takéhoto kolegu práve hľadáme!Čo u nás budete robiť?- Komunikácia s neustále rastúcou klientelou, prevažne osobné návštevy klientov.- Získavanie zákazníkov prostredníctvom prezentácie spoločnosti a jej unikátnej obchodnej platformy.- Práca z domu, telefonický a e-mailový kontakt s klientmi, práca v teréne.- Vytváranie najvhodnejších ponúk, analýza očakávaní klientov a prispôsobenie ponuky ich nákupnej stratégii, prezentácia výhod našej platformy.Čo môžete od nás očakávať?- Pracovná zmluva- Prémie už v skúšobnej dobe- Príležitosť v dynamickej a rastúcej medzinárodnej spoločnosti v automobilovom priemysle- Atraktívny produkt v kombinácii so službami, ktoré naši partneri požadujú"
"offer5167052","Operátor (zoraďovač ) kontúrovacieho stroja","Hydro Extrusion Slovakia a.s.","https://www.profesia.sk/praca/hydro-extrusion-slovakia-a-s/C33211","Žiar nad Hronom","1250","1250","EUR","mesiac","plný úväzok","Žiar nad Hronom,Robotník,Technik,Hydro Extrusion Slovakia a.s.","2025-09-30","https://www.profesia.sk/praca/hydro-extrusion-slovakia/O5167052?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Ste technicky zručný človek, ktorý hľadá stabilnú prácu? Hľadáme zodpovedného Operátora/ku kontúrovacieho stroja, ktorý sa stane dôležitou súčasťou nášho výrobného tímu.Čo bude vaša náplň práce?Práca s výkresovou dokumentáciou ( čítanie technickej dokumentácie)Zoradenie /nastavenie kontúrovacieho stroja pre jednotlivé korekcie profilov Dodržiavanie technologických postupov pre kontúrovanie profilovZápisy záznamov do informačného a registračného systému výroby"
"offer5167032","Vodič MKD","AUTODOPRAVA.GOČ, s.r.o.","https://www.profesia.sk/praca/autodoprava-goc-s-r-o/C129830","Slovensko, Nemecko (Práca vyžaduje cestovanie)","2950","2950","EUR","mesiac","plný úväzok","Vodič kamiónu,AUTODOPRAVA.GOČ, s.r.o.","2025-09-30","https://www.profesia.sk/praca/autodoprava-goc/O5167032?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Hľadáme vodiča MKD na turnusy podľa vlastného výberut-turnusy 2+1, 2+2,, 3+1,4+1, 6+2 alebo podľa dohody-vykonávanie preprav v krajinách Slovensko, Česko Nemecko, Rakúsko, Taliansko, Belgicko, Holandsko, Švajčiarsko prepravy vykonávané klasickou plachtovou súpravoudenná prácajazdi sa riadne podľa 561/2006 platené víkendy a sviatky garantovaná denná sadzba + premie a doplatkyslužobný telefón automatický výber mýta na faktúrutankovacie kartystriedanie vodičov je vždy v piatok na Slovensku (Prešov)vozidla euro 6, DAF a SCANIAplachtové návesyslužobný telefón"
"offer5026473","Marketingový manažér internetového obchodu www.protechshop.sk","Pro-Tech Shop, s. r. o.","https://www.profesia.sk/praca/pro-tech-shop-s-r-o/C278247","Lieskovská cesta 2279, Zvolen","1200","1200","EUR","mesiac","plný úväzok, živnosť","Lieskovec,Marketingový manažér,Marketingový pracovník,Pro-Tech Shop, s. r. o.","2025-09-30","https://www.profesia.sk/praca/pro-tech-shop/O5026473?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Pridaj sa do nášho tímu, kde Tvoj potenciál nezostane nevyužitý! Hľadáme šikovného, energického človeka, ktorý svojím nadšením a pozitívnym prístupom podporí nie len dobré fungovanie stránky, ale aj príjemnú a veselú atmosféru v kolektíve.Aká bude tvoja náplň práce?- príprava a realizácia marketingovej stratégie - implementácia digitálnej stratégie a zabezpečenie dosiahnutia cieľov - príprava reklamných kampaní- starostlivosť a rozvoj sociálnych sietí (FB, IG, tiktok) - tvorba obsahu na sociálne siete (FB, IG, tiktok) - vytváranie a optimalizácia digitálnych kampaní na základe analýzy dát a trendov - príprava promo videí a reels - návrh a tvorba promo materiálov - copywriting - komunikácia s marketingovou agentúrou- tvorba cenových porovnaní- údržba a správa databázy produktov- spracovávanie produktov do importov, tvorba popisov pre e-shopJedná sa o prácu na pracovisku vo Zvolene, homeoffice nie je možný!"
"offer5167028","Bezpečnostný pracovník obchodná prevádzka vo Zvolene","LAMA SK a. s.","https://www.profesia.sk/praca/lama-sk-a-s/C165941","Zvolen","1150","1150","EUR","mesiac","plný úväzok, skrátený úväzok, na dohodu (brigády)","Zvolen,Pracovník bezpečnostnej služby,LAMA SK a. s.","2025-09-30","https://www.profesia.sk/praca/lama-sk/O5167028?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Fyzická ochrana obchodnej prevádzky vo Zvolene"
"offer5167004","Telemarketingový pracovník / obchodník","Adresarfiriem.sk, a.s.","https://www.profesia.sk/praca/adresarfiriem-sk-a-s/C58159","Československej armády 25, Banská Bystrica","1400","1400","EUR","mesiac","živnosť","Banská Bystrica,Account manager,Marketingový pracovník,Odborný predajca,Telemarketingový pracovník,Adresarfiriem.sk, a.s.","2025-09-30","https://www.profesia.sk/praca/adresarfiriem-sk/O5167004?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","- fixná mzda s motivačnými bonusmi za uzatvorené objednávky- stabilná práca v rozvíjajúcej sa firme s dlhoročnou tradíciou- flexibilná pracovná doba (možnosť prispôsobiť si začiatok pracovného dňa)- zaškolenie a podpora pri nástupe, pravidelné tréningy obchodných zručností- priateľský kolektív a príjemné pracovné prostredie v centre mesta- firemné akcie a teambuildingy- možnosť kariérneho rastu na seniorské pozície alebo teamleadera"
"offer5167050","Hutný lisiar - obsluha studenej píly","Hydro Extrusion Slovakia a.s.","https://www.profesia.sk/praca/hydro-extrusion-slovakia-a-s/C33211","Žiar nad Hronom","1300","1300","EUR","mesiac","plný úväzok","Žiar nad Hronom,Operátor výroby,Hydro Extrusion Slovakia a.s.","2025-09-30","https://www.profesia.sk/praca/hydro-extrusion-slovakia/O5167050?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Náplň práce, právomoci a zodpovednostiskúsenejší kandidáti sú zaradení na :- obsluhu prietlačného lisu, rínovanie, napínanie profilu, výmena lisovacích nástrojov- manipuláciu s profilmi (evidencia, pílenie, balenie, vytvrdzovanie, kontúrovanie)- kontrolu kvality a presnosti profilov (meracie protokoly)- registráciu výroby do informačného systémKandidáti bez skúseností začínajú s obsluhou studenej píly - skracovanie vylisovaných profilov a manuálne odkladanie do paliet a postupne sú zaškolovaní na obsluhu lisov alebo prietlačného lisu."
"offer5167029","Bezpečnostný pracovník v obchodnej prevádzke v Žiari nad Hronom.","LAMA SK a. s.","https://www.profesia.sk/praca/lama-sk-a-s/C165941","Žiar nad Hronom","1100","1100","EUR","mesiac","plný úväzok, skrátený úväzok, na dohodu (brigády)","Žiar nad Hronom,Pracovník bezpečnostnej služby,LAMA SK a. s.","2025-09-30","https://www.profesia.sk/praca/lama-sk/O5167029?search_id=0e65d0f7-d60f-42a1-add8-dcb321c20aa3","Hľadáme Bezpečnostného pracovníka do nášho tímu!Tvoja náplň práce bude zahŕňať:- Fyzickú ochranu obchodnej prevádzky- Kontrolu vstupov a výstupov z prevádzky- Monitorovanie kamier a zabezpečenie bezpečnosti zákazníkov a zamestnancov- Pravidelné prehliadky prevádzky a overovanie bezpečnostných opatreníOkrem toho, typická náplň práce pre pozíciu Bezpečnostný pracovník v obchodnej prevádzke môže zahŕňať:- Spolupráca s políciou a vyšetrovateľmi v prípade neoprávnenej činnosti v prevádzkeTvoj typický deň na pracovnej pozícii bude zahŕňať:- Kontrolu vstupov a výstupov počas celého dňa- Pravidelné prehliadky prevádzky a overovanie bezpečnostných opatrení- Spoluprácu s kolegami a manažérom prevádzky pri riešení problémovTypická pracovná doba pre pozíciu Bezpečnostný pracovník v obchodnej prevádzke je s možnosťou práce na zmeny a víkendy.Ak hľadáš novú výzvu a chceš sa stať súčasťou nášho tímu, pošli nám svoj životopis a pripoj sa k nám!"
